price_eur	year	km_age	mark
22840	2015	76714	Kia
22850	2019	76035	Porsche
22850	2019	76035	Audi
22850	2019	76035	Volkswagen
25850	2018	75987	Volkswagen
28000	2018	75838	Volkswagen
22860	2019	75302	Ford
22800	2018	75000	Audi
28000	2020	75000	Kia
22860	2018	74887	Ford
22860	2017	74829	Volkswagen
28000	2019	74641	Dacia
28109	2018	74517	Volkswagen
25870	2018	74260	Volkswagen
28000	2019	74000	Dacia
25869	2018	73700	Volkswagen
22840	2019	73642	Peugeot
22850	2019	73569	Volkswagen
22850	2019	73569	Volkswagen
22850	2019	73569	Jeep
22800	2017	73500	Volkswagen
22850	2018	73348	Volkswagen
36499	2018	73276	BMW
22850	2020	73200	Skoda
36500	2008	73100	Volkswagen
22850	2017	72622	Volkswagen
22800	2019	72500	Volkswagen
22811	2019	72423	Audi
22980	2016	72100	Kia
22845	2018	71465	Audi
22820	2019	71059	Volkswagen
25850	2019	70990	Skoda
25870	2019	70500	Ford
28000	1985	70418	Peugeot
22860	2020	70189	Volkswagen
22860	2017	69870	Volkswagen
22830	2018	69822	Skoda
21990	2018	69800	Mazda
22860	2019	69800	BMW
22800	2017	69794	Volkswagen
25449	2019	69784	MINI
28000	2010	69600	Mercedes-Benz
28000	2019	69357	Volkswagen
22850	2018	68990	Volkswagen
22420	2020	68921	Skoda
22420	2020	68921	Renault
22380	2018	68898	Volkswagen
22840	2018	68298	Skoda
22850	2017	67887	Volkswagen
22850	2020	67650	Mercedes-Benz
31860	2019	67595	Ford
25870	2015	67000	Volkswagen
22840	2019	66991	Peugeot
22850	2019	66578	Volkswagen
25789	2019	66543	Ford
22850	2018	66500	Volkswagen
22800	2018	66300	MINI
22650	2017	66092	Audi
22850	2019	66043	Audi
22830	2018	66014	Seat
22860	2019	65932	Hyundai
22850	2016	65500	Mercedes-Benz
22840	2020	65250	Skoda
22840	2018	65230	Volkswagen
31360	2020	65068	Volkswagen
21840	2019	64850	Renault
22850	2018	64800	Audi
22820	2018	64700	MINI
25850	2018	64350	Volkswagen
21990	2020	64065	Audi
22850	2019	63828	Hyundai
22860	2018	63766	Volkswagen
22820	2017	63706	Skoda
22860	2018	62597	Volkswagen
22860	2018	62597	Volkswagen
22860	2019	62103	Ford
22850	2018	61945	Audi
22800	2019	61840	Jeep
21780	2019	61800	Volkswagen
21999	2019	61778	Volkswagen
25850	2018	61454	Audi
22849	2018	61400	Ford
22853	2018	61350	Volkswagen
25470	2020	61149	Skoda
25861	2017	61000	Volkswagen
25861	2017	61000	MINI
25861	2017	61000	Ford
25861	2017	61000	Volvo
25850	2020	61000	Volkswagen
26750	2019	60950	Volkswagen
22820	2019	60917	Volkswagen
22840	2019	60859	BMW
22849	2017	60692	Audi
21440	2018	60596	Audi
25870	2018	60543	Renault
22839	2018	60290	Renault
22177	2018	59900	Audi
25870	2019	59896	Renault
22840	2016	59820	Renault
22840	2021	59551	Audi
22840	2021	59551	Skoda
22850	2018	59523	Seat
25850	2019	59394	Mercedes-Benz
22840	2019	59273	Mercedes-Benz
68980	2020	59150	Skoda
68980	2020	59150	Skoda
22710	2018	58000	Volkswagen
22855	2019	57950	Audi
22821	2018	57000	Seat
25850	2019	56900	Volkswagen
21960	2018	56600	Skoda
22840	2021	56418	BMW
22850	1980	56314	Volkswagen
22840	2018	56000	Fiat
22830	2018	55910	Fiat
22800	2016	55800	Dacia
22840	2021	55640	Citroën
25870	2019	54675	Ford
25870	2019	54299	Skoda
25875	2018	54090	Volkswagen
25850	1973	54000	BMW
25850	2021	53961	Renault
25850	2016	53902	Audi
21890	2019	53900	Volkswagen
22840	2019	53750	Volkswagen
22840	2019	53750	Fiat
21805	2019	53600	Ford
31589	2020	53572	Renault
25875	2019	53220	Ford
21949	2016	53000	Volkswagen
25850	2017	53000	Aixam
22800	2019	53000	Skoda
28000	2020	53000	Volkswagen
22850	2019	52999	Volkswagen
22849	2018	52410	Other
22720	2021	52000	Seat
25850	2019	51945	Volkswagen
25870	2018	51836	Volkswagen
31860	2018	51778	Seat
25870	2019	51298	Seat
25850	2019	51290	Volkswagen
22830	2020	51235	Suzuki
31840	2019	51176	Volkswagen
22849	2017	50369	Audi
22840	2021	50333	Mercedes-Benz
28000	2018	50000	BMW
22850	2018	50000	Audi
25870	2019	49931	Volkswagen
22840	2020	49800	Land_Rover
27948	2020	49524	BMW
26000	2016	49500	Honda
25870	2019	49312	BMW
25850	2020	48985	Volkswagen
25390	2020	48942	Volkswagen
22840	2021	48913	Volkswagen
22840	2021	48913	BMW
25449	2019	48903	Renault
25850	2018	48800	BMW
22810	2019	48300	Volkswagen
22810	2019	48300	Corvette
25870	2021	48000	Skoda
25870	2021	48000	Skoda
68280	2020	47880	Nissan
22860	2018	47688	Fiat
22840	2018	47521	Nissan
22860	2017	47250	Nissan
24870	2020	46878	Nissan
24950	2018	46843	Mercedes-Benz
25875	2018	46529	Audi
25869	2021	46519	Volkswagen
22800	2020	46500	Ford
22381	2018	46353	Ford
22840	2019	46242	Renault
25850	2018	46070	Renault
22800	2020	45700	MINI
25870	2018	45508	Volkswagen
22850	2017	45491	Opel
25875	2019	45490	BMW
22850	2019	45382	MINI
22830	2019	45300	Ford
25869	2019	45150	Volkswagen
25870	2019	45047	BMW
28000	2017	45000	Citroën
22800	2018	45000	Citroën
25850	2020	45000	Ford
22800	2018	44678	Ford
22860	2019	44545	Opel
22489	2019	44530	Ford
22855	2019	44200	Nissan
25850	2020	44124	Hyundai
27900	2018	44000	MINI
22600	2014	43900	Mercedes-Benz
22720	2021	43900	Ford
25870	2019	43754	Audi
22830	2018	43688	Mercedes-Benz
22840	2020	43561	Citroën
22810	2019	43543	Skoda
22849	2021	43283	Mercedes-Benz
22855	2019	43241	BMW
22860	2018	43000	Alfa_Romeo
51700	2019	43000	Nissan
22720	2021	43000	Nissan
